BabyAI-GoToObjMaze-v0, Seed: 7, Steps: 48
BabyAI-GoToObjMaze-v0, Seed: 8, Steps: 84
BabyAI-GoToObjMaze-v0, Seed: 9, Steps: 84
BabyAI-GoToObjMazeOpen-v0, Seed: 0, Steps: 18
BabyAI-GoToObjMazeOpen-v0, Seed: 1, Steps: 78
BabyAI-GoToObjMazeOpen-v0, Seed: 2, Steps: 85
BabyAI-GoToObjMazeOpen-v0, Seed: 3, Steps: 12
BabyAI-GoToObjMazeOpen-v0, Seed: 4, Steps: 7
BabyAI-GoToObjMazeOpen-v0, Seed: 5, Steps: 78
BabyAI-GoToObjMazeOpen-v0, Seed: 6, Steps: 21
BabyAI-GoToObjMazeOpen-v0, Seed: 7, Steps: 77
BabyAI-GoToObjMazeOpen-v0, Seed: 8, Steps: 94
BabyAI-GoToObjMazeOpen-v0, Seed: 9, Steps: 97
BabyAI-GoToObjMazeS4R2-v0, Seed: 0, Steps: 5
BabyAI-GoToObjMazeS4R2-v0, Seed: 1, Steps: 10
BabyAI-GoToObjMazeS4R2-v0, Seed: 2, Steps: 2
BabyAI-GoToObjMazeS4R2-v0, Seed: 3, Steps: 13
BabyAI-GoToObjMazeS4R2-v0, Seed: 4, Steps: 10
BabyAI-GoToObjMazeS4R2-v0, Seed: 5, Steps: 5
BabyAI-GoToObjMazeS4R2-v0, Seed: 6, Steps: 18
BabyAI-GoToObjMazeS4R2-v0, Seed: 7, Steps: 3
BabyAI-GoToObjMazeS4R2-v0, Seed: 8, Steps: 7
BabyAI-GoToObjMazeS4R2-v0, Seed: 9, Steps: 7
BabyAI-GoToObjMazeS4-v0, Seed: 0, Steps: 22
BabyAI-GoToObjMazeS4-v0, Seed: 1, Steps: 19
BabyAI-GoToObjMazeS4-v0, Seed: 2, Steps: 24
BabyAI-GoToObjMazeS4-v0, Seed: 3, Steps: 14
BabyAI-GoToObjMazeS4-v0, Seed: 4, Steps: 3
BabyAI-GoToObjMazeS4-v0, Seed: 5, Steps: 16
BabyAI-GoToObjMazeS4-v0, Seed: 6, Steps: 13
BabyAI-GoToObjMazeS4-v0, Seed: 7, Steps: 4
BabyAI-GoToObjMazeS4-v0, Seed: 8, Steps: 45
BabyAI-GoToObjMazeS4-v0, Seed: 9, Steps: 37
BabyAI-GoToObjMazeS5-v0, Seed: 0, Steps: 26
BabyAI-GoToObjMazeS5-v0, Seed: 1, Steps: 28
BabyAI-GoToObjMazeS5-v0, Seed: 2, Steps: 28
BabyAI-GoToObjMazeS5-v0, Seed: 3, Steps: 42
BabyAI-GoToObjMazeS5-v0, Seed: 4, Steps: 20
BabyAI-GoToObjMazeS5-v0, Seed: 5, Steps: 12
BabyAI-GoToObjMazeS5-v0, Seed: 6, Steps: 7
BabyAI-GoToObjMazeS5-v0, Seed: 7, Steps: 12
BabyAI-GoToObjMazeS5-v0, Seed: 8, Steps: 102
BabyAI-GoToObjMazeS5-v0, Seed: 9, Steps: 30
BabyAI-GoToObjMazeS6-v0, Seed: 0, Steps: 42
BabyAI-GoToObjMazeS6-v0, Seed: 1, Steps: 32
BabyAI-GoToObjMazeS6-v0, Seed: 2, Steps: 37
BabyAI-GoToObjMazeS6-v0, Seed: 3, Steps: 22
BabyAI-GoToObjMazeS6-v0, Seed: 4, Steps: 5
BabyAI-GoToObjMazeS6-v0, Seed: 5, Steps: 22
BabyAI-GoToObjMazeS6-v0, Seed: 6, Steps: 11
BabyAI-GoToObjMazeS6-v0, Seed: 7, Steps: 37
BabyAI-GoToObjMazeS6-v0, Seed: 8, Steps: 127
BabyAI-GoToObjMazeS6-v0, Seed: 9, Steps: 50
BabyAI-GoToObjMazeS7-v0, Seed: 0, Steps: 91
BabyAI-GoToObjMazeS7-v0, Seed: 1, Steps: 93
BabyAI-GoToObjMazeS7-v0, Seed: 2, Steps: 54
BabyAI-GoToObjMazeS7-v0, Seed: 3, Steps: 12
BabyAI-GoToObjMazeS7-v0, Seed: 4, Steps: 4
BabyAI-GoToObjMazeS7-v0, Seed: 5, Steps: 101
BabyAI-GoToObjMazeS7-v0, Seed: 6, Steps: 14
BabyAI-GoToObjMazeS7-v0, Seed: 7, Steps: 37
BabyAI-GoToObjMazeS7-v0, Seed: 8, Steps: 86
BabyAI-GoToObjMazeS7-v0, Seed: 9, Steps: 95
BabyAI-GoToImpUnlock-v0, Seed: 0, Steps: 180
